able	unable
mature; adult, big, grown, full-grown, grownup, fully grown; fruiting; headed; overblown; full-blown, matured; prime, meridian; old; abloom, efflorescent; marriageable, nubile	immature; embryonal, embryonic, embryologic; prepupal; pupal; pubescent; inchoative; premature; prepubertal, prepubescent; underdeveloped; adolescent; young, immature; larval
mature; mellow, mellowed; autumnal; ripe	immature; childish, infantile; babyish; juvenile, jejune, adolescent, puerile
mature, ripe; mellow, mellowed; ripened, aged; overripe	green, immature, unripe, unripened; unaged
seasonal	year-around, year-round
seasonable	unseasonable
seasoned; cured	unseasoned; uncured
full-term; mature	premature; immature
maximal, maximum; supreme	minimal, minimum; nominal, tokenish, token; stripped, stripped-down; borderline, marginal; negligible
maximal, maximum; supreme	minimal, minimum; nominal, tokenish, token; stripped, stripped-down; borderline, marginal; negligible
meaningful; significant, important; purposeful; significant, pregnant, meaning; purposeful; substantive, meaty	meaningless, nonmeaningful; unimportant; unimportant, insignificant; nonsense, nonsensical; purposeless; insignificant; empty, hollow, vacuous; mindless
measurable, mensurable	immeasurable, unmeasurable, immensurable, unmeasured; limitless, measureless, illimitable; abysmal
meaty	meatless
mechanical; mechanized, mechanised; mechanistic; mechanic; windup; automatic, robotic, automatonlike, robotlike, machinelike	nonmechanical; unmechanized, unmechanised; nonmechanistic
melodic, musical, melodious; lyrical; songful, canorous; cantabile, singing; songlike, ariose; mellisonant, dulcet, mellifluous, sweet, honeyed	unmelodic, unmelodious, unmusical
melodious, tuneful	tuneless, unmelodious, untuneful
membered; 8-membered, eight-membered; 7-membered, seven-membered; nine-membered, 9-membered; five-membered, 5-membered; four-membered, 4-membered; 3-membered, three-membered; 10-membered, ten-membered; 6-membered, six-membered	memberless
mined; deep-mined; well-mined; strip-mined	unmined
musical; liquid; chanted; singable	nonmusical, unmusical
musical; philharmonic	nonmusical, unmusical
liquid, liquified, melted; molten, liquified, liquefied; thawed; dissolved; unfrozen; fusible	unmelted; frozen; frozen; undissolved
merciful; kind; soft; humane; clement; compassionate	merciless, unmerciful; inclement; uncompassionate; mortal; unkind; bowelless, cutthroat, fierce; hard; pitiless, unpitying, remorseless, ruthless; tigerish; bloody; implacable
metabolic, metabolous	ametabolic, ametabolous
mild; gentle, soft; moderate; temperate, moderate; temperate; mild-mannered	intense; wild, violent; overwhelming, consuming; profound; immoderate; raging; cold; screaming; main; keen, exquisite; intensified; smart; aggravated; intensive; brutal, unrelenting; utmost, extreme, uttermost; strong; terrific; blood-and-guts; unabated; vehement, tearing, violent, trigger-happy, fierce; concentrated; profound; thick, deep; severe, terrible, wicked; big, bad; deep; intemperate
intensive	extensive
involved; participating, active; concerned, implicated; up to your neck, up to his neck, neck-deep, up to our necks, up to their necks, up to her neck, up to my neck; engaged; interested, concerned; caught up; entangled, embroiled	uninvolved; unconcerned
military; martial; combatant; noncombatant; expeditionary	civilian; civil; noncombatant
military; militaristic; warlike, martial; martial, soldierlike, soldierly, warriorlike	nonmilitary, unmilitary; unsoldierly
mitigated; alleviated, eased, relieved; slaked, satisfied, quenched; lessened	unmitigated; blinking, crashing, flaming, bally, fucking, bloody, blooming; bodacious; pure, thoroughgoing, perfect, utter, unadulterated, everlasting, staring, sodding, gross, double-dyed, stark, arrant, consummate, complete; undiminished, unrelieved
tempered	untempered; unmoderated
hardened, toughened, treated, tempered; sunbaked; curable	unhardened, untempered; unannealed, brittle
mobile; moving; floating; transportable, moveable, transferrable, movable, transferable; raisable, raiseable; transplantable; rotatable; versatile; perambulating; rangy; racy; seaborne; ambulant, ambulatory; motile; waterborne; mechanized, mechanised, motorized; airborne; manoeuvrable, maneuverable	immobile; unmovable, stabile, immovable, immoveable; immotile, nonmotile; stiff; unmoving, nonmoving
portable; man-portable; take-away, takeout; movable	unportable
removable; dismissible; extractible, extractable	irremovable; tenured
metal, metallic; golden, gilded, gold; tinny; aluminiferous; bimetallic, bimetal; bronze; gold-bearing, auriferous; all-metal; argentiferous; silver; antimonial; metal-looking, metallike, metallic-looking	nonmetal, nonmetallic; metalloid
metamorphic; holometabolic, holometabolous; metamorphous; heterometabolous, heterometabolic; changed; epimorphic; hemimetabolic, hemimetamorphic, hemimetamorphous, hemimetabolous	nonmetamorphic; ametabolic
moderate; indifferent; limited; middle-of-the-road; intermediate, medium, average; minimalist; reasonable, fairish, fair; cautious, conservative; mild; small, modest; temperate	immoderate; stark; radical, extremist, ultra; intemperate; all-fired; extortionate, unconscionable, usurious, steep, outrageous, exorbitant; extreme; extreme; far; inordinate, unreasonable, excessive, undue; overstated, overdone, exaggerated; intense; unreasonable; extraordinary, over-the-top, sinful; abnormal
modern; neo; redbrick, red-brick; current; modern-day, contemporary; late; new; ultramodern; moderne	nonmodern; old-world; Victorian; old; antebellum; past; horse-and-buggy; gothic, mediaeval, medieval
modest; coy, demure, overmodest; decent; decent; decent; shamefaced	immodest; indecent; indecent
modest; humble; unassuming, retiring	immodest; proud; domineering; uppity, overweening; disrespectful; important
modified; altered, adapted; qualified; qualified, restricted; varied	unmodified; unqualified; unadapted; unrestricted
modulated; softened	unmodulated; monotone, monotonic, flat, monotonous
molar	molecular
monoclinous; hermaphroditic	diclinous
monecious, monoecious, monoicous; heteroicous, polygamous, polyoicous; autoicous; paroicous; synoecious, synoicous	dioecian, dioecious
monophonic; monodic, monodical; homophonic	contrapuntal, polyphonic
monogamous; monogynic, monogynous; monandrous	polygamous; bigamous; polygynous; polyandrous
monolingual	multilingual; polyglot; bilingual; trilingual
monovalent, univalent	multivalent, polyvalent
univalent	bivalent, double
univalent	multivalent
bivalent, double	multivalent
monotone, monotonic; decreasing monotonic; increasing monotonic	nonmonotonic
monovalent	polyvalent
moral; chaste; virtuous; honourable, honorable; good; incorrupt; righteous; moralistic; righteous; clean, clean-living; chaste	immoral; evil; wicked; unrighteous; unchaste; libertine, profligate, riotous, dissolute, fast, debauched, dissipated, degraded, degenerate; scandalous, shameful, shocking, disgraceful; scrofulous
licit	illicit; extracurricular, extramarital, adulterous; unlawful
principled; high-principled; scrupulous	unprincipled; unscrupulous
many; some; numerous, legion; some; many a, many an, many another; umpteen, umteen; more; galore	few; hardly a; some; fewer; a couple of, a few
much; some; more than, more; overmuch; such; untold	little, slight; less; small
more than, more; much	less; little, slight
most	least
most	fewest
more; more than, more; many	fewer; less; less; few
mortal; earthborn; finite; earthly	immortal; heavenly; deathless, undying; unfading, amaranthine; deific; infinite
motivated; intended; impelled, driven; actuated	unmotivated; motiveless, unprovoked, wanton; unintended; causeless, reasonless
motored, motorized, motorised; bimotored; trimotored	motorless, unmotorized, unmotorised
affected, touched, stirred, moved; emotional; sick; affected	unaffected, untouched, unmoved; unemotional; unaffected
moving; emotional; impressive; haunting; touching, affecting, poignant; stimulating; heartwarming; stirring, soul-stirring	unmoving; unemotional; unaffecting; unstimulating, unexciting
moving; vibratory; restless; awheel; blown; wriggling, writhing, wriggly, wiggly; mobile; oncoming; mobile; afoot; ahorse, ahorseback; automotive, self-propelling, self-propelled; flaring, aflare; kinetic; flying, fast-flying	nonmoving, unmoving; immobile; rigid, set, fixed; rooted, frozen, stock-still; still, motionless, inactive, static; inert; stationary; sitting; becalmed
moving; animated	still
cut, mown; new-mown	uncut, unmown
seamanlike, seamanly	unseamanlike; lubberly, landlubberly
continental; transcontinental; continent-wide	intercontinental; worldwide, world-wide
national; nationalist, nationalistic; domestic	international; supranational; worldwide, world, global, planetary, world-wide; multinational, transnational; internationalist, internationalistic; foreign
interstate	intrastate
natural; earthy; natural; natural	unnatural; violent; supernatural; affected; paranormal
natural; uncolored, unbleached, undyed; natural	artificial, unreal; dummy; conventionalised, stylised, conventionalized, stylized; factitious; unreal; celluloid, synthetic; counterfeit, imitative; man-made, semisynthetic, synthetic; bionic; painted; colored, bleached, coloured, dyed; near; imitation, faux, fake, false, simulated; arranged, staged; cardboard, unlifelike; ersatz, substitute
natural; physical	supernatural; witchlike; eerie; unreal; ghostlike, spectral, phantasmal, spiritual, ghostly, apparitional; transmundane; talismanic; metaphysical; marvelous, marvellous, miraculous; wizardly, wizard, sorcerous, witching, charming, magical, magic; fey, elfin; uncanny, weird, unearthly, eldritch; necromantic; otherworldly, nonnatural, transcendental, preternatural
natural	flat
natural	sharp
sharp	flat
ultimate; last, final, net; supreme; last-ditch; crowning; eventual	proximate; immediate
necessary; requisite, needed, needful, required; obligatory; essential; incumbent; indispensable, essential; obligatory; indispensable	unnecessary, unneeded; spare; inessential; superfluous, supererogatory, redundant, extra, supernumerary, surplus, excess, spare; inessential, unessential; needless, gratuitous, uncalled-for
net, nett; clear; take-home	gross; overall
neurotic, psychoneurotic; hypochondriac, hypochondriacal; schizoid; megalomanic, megalomaniacal; abulic, aboulic; compulsive; psychosomatic; phobic; obsessive, obsessional; hysteric, hysterical; delusional; obsessive-compulsive; disturbed, maladjusted; nymphomaniac, nymphomaniacal; pathological; monomaniacal	unneurotic; together
nice; pleasant; good; pleasant	awful, nasty; grotty; dirty, filthy, lousy; hateful, mean; unpleasant
nidicolous	nidifugous
noble; ennobling, dignifying; greathearted, magnanimous; honourable, honorable; exalted, sublime, high-minded, rarified, rarefied, elevated, high-flown, idealistic, lofty, noble-minded, grand	ignoble; contemptible; dishonourable, dishonorable; meanspirited, base, mean; currish; cowardly, fearful
noble; gentle, aristocratic, blue-blooded, blue, patrician, aristocratical; lordly, august, grand; royal, imperial, purple, majestic, regal; monarchal, monarchical; titled, highborn, coroneted; royal; princely; kinglike, kingly; queenlike, queenly	lowborn; base, lowly, humble, baseborn; ignoble, untitled, ungentle; lower-class, low-class; plebeian, unwashed, vulgar, common
normal; regular; natural; typical; average, modal; average, mean; sane; standard; median, average	abnormal, unnatural; brachydactylic, brachydactylous; antidromic; supernormal; perverted, kinky; defective; anomalous; subnormal; deviant, deviate, aberrant; atypical, irregular; freakish; vicarious; insane
normal	abnormal; exceptional
normal	paranormal; psychic, psychical; psychokinetic; parapsychological; unnatural; extrasensory, paranormal; supernormal, supranormal
hypertensive	normotensive
hypertensive	hypotensive
hypotensive	normotensive
north; northwestern, northwesterly, northwest; northeasterly, northeast; northwestward; northwesterly, northwest; northward, northbound; northmost, northernmost; northerly, northern; northeasterly, northeastern, northeast; northeastward; north-central; northerly, northern	south; southbound, southward; southwesterly, southwest; southern, southerly; southeastern, southeasterly, southeast; southmost, southernmost; south-central; southwesterly, southwestern, southwest; southwestward; southeastward; southern, southerly; southeasterly, southeast
